moveNumber;guid;name;description;type;category;target;cantBeRandomed;sp;flatDamage;power;priority;isStatBased;enemyStat;statType;statLow;statHigh;extraCrit;specialType;alwaysHits;accuracy;hitsDig;hitsFly;minAttacks;maxAttacks;startsDig;startsFly;isTransform;selfHealing;sleepAttack;oneUse;isDelayed;delay;isMultiTurn;effectTurn;turnsMin;turnsMax;hasCooldown;cooldown;recoilOnHit;recoilOnMiss;recoilPercent;recoil;recoilAnimation;effects;secondaryEffects
1;034cef39039176441b8f7b2b8c2bc679;Dish Out;When hit by a Brute Attack, user strikes back with 2x power.;7;0;0;0;10;0;0;0;0;0;0;0;0;0;9;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
2;38ed513cf0826ab47a8d97b659b329b2;Double Kick;Hits twice in one turn.;7;0;0;0;15;0;30;0;0;0;0;0;0;0;0;0;100;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
3;8bed956fa831df340b7ba8c815616535;Haymaker;If it misses, the user loses half their HP.;7;0;0;0;5;0;130;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;50;6;[];[]
4;84b06bfba06e4a94995ff8c03215393d;Gambler;If it misses, the user loses half their HP.;7;0;0;0;5;0;100;0;0;0;0;0;0;0;0;0;95;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;50;0;[];[]
5;93f9b9cfb7e626e4c9b6539414292f21;Leg Sweep;High critical hit ratio.;7;0;0;0;12;0;50;0;0;0;0;0;0;5;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
6;bec78305a5dc83146925b1d19b87a8cc;Slug;The slower the opponent, the stronger the attack.;7;0;0;0;14;0;0;0;0;0;0;0;0;0;16;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
7;0b4105af9c428a04485910b52fad6738;Spin Kick;May cause flinching.;7;0;0;0;12;0;60;0;0;0;0;0;0;0;0;0;85;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
8;e659f186565b68b49932efe8e453123f;Uppercut;Inflicts damage equal to 15% of their total stats;7;0;0;0;10;0;0;0;1;0;9;15;15;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
9;668e604fbe71a0a498df424a11de821f;Recoil;User receives recoil damage.;7;0;0;0;12;0;80;0;0;0;0;0;0;0;0;0;80;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;20;5;[];[]
10;987c89f02bd71bf48b0b611528561bf6;Prism;Inflicts 60 HP, 90 if super effective;14;0;0;0;10;1;60;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
11;c8b84c69b9a19ed42858382560033ff7;Mesmerize;User must recharge next turn.;14;0;0;1;5;0;140;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 1, 'boosts': [], 'status': 0, 'volatileStatus': 13, 'statChance': 100, 'secChance': 100}]
12;4bddde0e4a12b5347b8d963f0117e9e7;Enlightmenment;Raises Sp. Def on first turn, attacks on second.;14;0;0;1;5;0;150;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 1, 'boosts': [{'stat': 3, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
13;302ed8cc86ef5a4418772ac624169121;Crystalizer;User attacks for 2-3 turns but then becomes confused. Raises Sp. Atk;14;0;0;1;2;0;120;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 0, 'statChance': 0}, {'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 0, 'statChance': 0}, {'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 0, 'statChance': 0}, {'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[{'effectTarget': 1, 'boosts': [{'stat': 2, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 6, 'statChance': 100, 'secChance': 100}]
14;fcf44a7b2e27c894e87b36c857483b23;Polish;Recovers 10 hp, heals afflictions, and resets all stat changes.;14;2;1;0;8;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;[];[]
15;2957fe44d5cf8a04493efe84e54a4693;Smack;May cause flinching.;12;0;0;0;12;0;60;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
16;aabf6cd4503c3d7469858348ca028de7;Hex;User receives recoil damage.;12;0;0;0;5;0;120;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;20;0;[];[]
17;ae8030f81cf3d4447bcf20738c69f96b;Lights Out;Recovers 10 hp, heals afflictions, and resets all stat changes.;12;0;0;0;5;0;100;0;0;0;0;0;0;0;0;0;75;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
18;955b37a816682bf43956f9b2b746a0fe;Terrorize;May paralyse opponent.;12;0;0;0;10;0;20;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
19;773c896fba1ca6b4b82bb76fc347619c;Envy;;12;0;0;0;10;0;80;0;0;0;0;0;0;0;0;0;85;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
20;769797c7739bf3048b10ef0d969da560;Sucker Punch;User attacks first.;12;0;0;0;12;0;40;1;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
21;5b6ee1ae8bf5da144b378eb48fa69342;Betrayal;Ignores Accuracy and Evasiveness.;12;0;0;0;10;0;60;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
22;102251a9109c81d44b1dc5634fb56fb4;Revenge;User receives recoil damage.;12;0;0;0;10;0;90;0;0;0;0;0;0;0;0;0;85;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;20;0;[];[]
23;60dd6fb21209ef746954e8bee445e67e;Overclock;Sharply raises user's Speed.;11;2;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 4, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
24;55562252d5a8ad64b92c467a930b12d1;VPN;Sharply raises user's Special Defense.;11;2;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 3, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
25;b86f42d912a4d06438e9a78f4e702b9f;IRC;Sharply raises user's Defense.;11;2;0;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 1, 'boost': 2, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
26;a6613fb5d61b1a948aa8a33d6ed1c45e;Hash;May confuse opponent.;11;0;0;0;5;0;120;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 6, 'statChance': 20, 'secChance': 100}]
27;187d84749ba863d4e8576bd17f7d1a88;Packet Loss;User recovers half the HP inflicted on an afflicted opponent.;11;0;0;0;5;0;100;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;-50;0;[];[]
28;b117d8e10c7f1af49b07f4149d562d54;Hack;Hacks opponent, causing a glitch.;11;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;60;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 8, 'statChance': 100}];[]
29;04e4551fe4e5dbf49b13cb08a83f06ed;Blur;Lowers opponent's Accuracy.;11;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;80;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 5, 'boost': -1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
30;5cf1c5eaed37ad340a6320007b6c4da0;Defense Matrix;Halves damage from Special attacks for 5 turns.;11;2;0;0;6;0;0;0;0;0;0;0;0;0;12;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
31;f6d51b9b854d06145ae042fa8a785ce4;Reboot;Raises user's Attack.;11;2;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 0, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
32;cd488bb87364c50468a6b80e173a89c2;DDOS;May glitch opponent.;11;0;0;0;10;0;65;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 8, 'statChance': 20, 'secChance': 100}]
33;ee4f8103710cce74aac9a60147eeed7d;Energy Beam;May lower opponent's Special Defense.;11;0;0;0;8;0;90;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [{'stat': 3, 'boost': -1, 'chance': 20}], 'status': 0, 'volatileStatus': 0, 'statChance': 0, 'secChance': 100}]
34;aa50e2c0bd0a8104cb96c7c78c3a1a80;Brute Force;Inflicts damage 25-50% of user's Special Attack.;11;0;0;0;12;0;0;0;1;0;3;25;50;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
35;e337f8050edbaa74f9e641160bc1a323;Firewall;Halves damage from Physical attacks for 5 turns.;11;2;0;0;6;0;0;0;0;0;0;0;0;0;11;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
36;cda8fea038d0e9441b7dc774a6061230;Regen;User is paralyzed for 2 turns, but fully healed.;11;2;1;1;4;0;0;0;1;0;6;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 100}];[]
37;fbe639f1798bbe74c8299f6be6841285;Log Off;Allows User to tag in another Toshimon in same turn;11;0;0;1;5;0;100;0;0;0;0;0;0;0;2;0;50;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
38;c3b9b56bdfa33ec4d916dbd42fdf3dc6;Sinkhole;May cause flinching.;9;0;0;0;6;0;65;0;0;0;0;0;0;0;0;0;85;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
39;5b3d09eabd8ef4240811edd1d94b78bf;Earthshatter;Hits twice in one turn.;9;0;0;0;8;0;50;0;0;0;0;0;0;0;0;0;90;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
40;3eab7df3108470d4e9cc7c792a663c86;Tunnel;Digs underground on first turn, attacks on second. Can also escape from caves.;9;0;0;1;8;0;80;0;0;0;0;0;0;0;0;0;100;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;[];[]
41;1a732d422c679554e9b4e86b92987d13;Frack;Power is doubled if opponent is underground from using Dig.;9;0;0;0;5;0;100;0;0;0;0;0;0;0;0;0;100;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
42;ba0e0c2cc9f704d45aafc9cd0b0fc02f;Tectonic Shift;One-Hit-KO, if it hits.;9;0;0;0;5;0;0;0;0;0;0;0;0;0;22;0;30;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
43;39715758716d337479fa8a3385adf2aa;Quake;May cause flinching.;9;0;0;0;10;0;75;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
44;606c654e0533d604183dda866fe140f3;Rumble;;9;0;0;0;12;0;50;0;0;0;0;0;0;0;0;0;90;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
45;9f413179d338b6a429ad0576521c153d;Dust Storm;Lowers opponent's Accuracy.;9;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [{'stat': 5, 'boost': -1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
46;8e7c533deb1495245bc3940a86c693b6;Vanish;Disappears for one turn. Confuses opponent.;10;2;0;0;10;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 6, 'statChance': 100}];[]
47;7ad7c12c0ee24e94584dbf408242a0ff;Banshee;Raises user's Evasiveness.;10;2;1;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[{'effectTarget': 1, 'boosts': [{'stat': 6, 'boost': 1, 'chance': 100}], 'status': 0, 'volatileStatus': 0, 'statChance': 0}];[]
48;c5bf7be00a16f344ab639872abaeb1b9;Ascension;Flies up on first turn, attacks on second turn.;10;0;0;1;5;0;120;0;0;0;0;0;0;0;0;0;95;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;[];[]
49;7396d05f9e04b39418eb1949cee84a76;Scare;May paralyze opponent.;10;0;0;0;10;0;30;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 4, 'volatileStatus': 0, 'statChance': 20, 'secChance': 100}]
50;1830ef2d44c5c18498d46f080ed350ba;Soulsuck;User recovers half the HP inflicted on opponent.;10;0;0;0;10;0;40;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;-50;0;[];[]
51;300473a10782b224bb4a96a257521dec;Haunt;Inflicts damage equal to 15% of the users total stats;10;0;0;0;10;0;0;0;1;0;9;15;15;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
52;ec427de5c08e47d4e901e822556d7ea2;Frighten;Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.;10;0;0;1;5;0;130;0;0;0;0;0;0;5;0;0;90;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;[];[{'effectTarget': 0, 'boosts': [], 'status': 0, 'volatileStatus': 7, 'statChance': 20, 'secChance': 100}]
53;b8795a7724caff14686f09f2bd25fe87;Incendiary Blast;;2;0;0;0;8;0;80;0;0;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[]
